rank,time_bucket,time_seconds,coordinates,lat,lon,newly_covered_buildings,newly_covered_people_est
93,30s,30,"31.745468,34.995729",31.74546766914137,34.99572886321424,4,28
94,30s,30,"31.711835,35.001256",31.71183464952753,35.001255799434155,4,28
95,30s,30,"31.739242,34.987046",31.73924163310693,34.9870460929148,4,28
96,30s,30,"31.744881,34.976572",31.74488118369628,34.97657223370887,4,28
97,30s,30,"31.713966,34.981696",31.713966338131524,34.98169592966992,4,28
98,30s,30,"31.716806,34.999378",31.716806139965783,34.99937847416661,4,28
99,30s,30,"31.751002,34.995311",31.751002452456106,34.9953111754889,4,28
100,30s,30,"31.744670,34.978193",31.74467033069698,34.97819271136712,4,28
101,30s,30,"31.740590,34.991492",31.740589637205357,34.99149160806674,4,28
102,30s,30,"31.750652,34.980336",31.750651569313487,34.98033610653385,4,28
103,30s,30,"31.743947,34.980360",31.743947280575977,34.98035981493593,4,28
104,30s,30,"31.726769,34.978231",31.726769209999528,34.97823055014616,4,28
105,30s,30,"31.752217,34.985423",31.752217165035397,34.98542280738713,4,28
106,30s,30,"31.739001,34.993665",31.739001463876473,34.99366504570277,4,28
107,30s,30,"31.745312,34.990237",31.74531170842383,34.99023746716833,4,28
108,30s,30,"31.754169,34.987395",31.754168640573944,34.98739496986427,4,28
109,30s,30,"31.749073,34.997719",31.749073317521148,34.99771901248703,4,28
110,30s,30,"31.747348,34.983351",31.74734755825448,34.98335066187526,4,28
111,30s,30,"31.747398,34.983609",31.747398089044502,34.98360946468067,4,28
112,30s,30,"31.745571,34.990287",31.74557078275926,34.99028697947976,4,28
113,30s,30,"31.753252,34.987519",31.753252289440614,34.98751878527036,4,28
114,30s,30,"31.744616,34.976636",31.74461563638628,34.976636120895506,3,21
115,30s,30,"31.736431,34.998058",31.736430645298423,34.99805760539381,3,21
116,30s,30,"31.709761,34.994659",31.7097608769295,34.99465941163135,3,21
117,30s,30,"31.736946,34.984709",31.736945826467245,34.984709332418205,3,21
118,30s,30,"31.742042,34.977167",31.742041655130286,34.97716683101126,3,21
119,30s,30,"31.751095,34.988429",31.751094852758218,34.98842909370923,3,21
120,30s,30,"31.743156,34.983484",31.743156155374564,34.983484429217725,3,21
121,30s,30,"31.736756,34.984344",31.73675580842098,34.98434360653965,3,21
122,30s,30,"31.739220,34.989352",31.739220207184715,34.98935244669,3,21
123,30s,30,"31.709745,34.998663",31.709745350918755,34.99866338411392,3,21
124,30s,30,"31.742263,34.989961",31.742263315414323,34.989960806793626,3,21
125,30s,30,"31.739010,34.985651",31.739009732587913,34.985650861427935,3,21
126,30s,30,"31.712041,35.001440",31.712041351727418,35.00143992211451,3,21
127,30s,30,"31.728012,34.994511",31.72801157954376,34.99451121440469,3,21
128,30s,30,"31.741649,34.988294",31.74164917816427,34.98829425724056,3,21
129,30s,30,"31.745653,34.975374",31.745652939198393,34.975374375922684,3,21
130,30s,30,"31.747358,34.996762",31.747358423795248,34.99676177367182,3,21
131,30s,30,"31.739772,34.980027",31.739772168539055,34.980026728554016,3,21
132,30s,30,"31.740888,34.992196",31.74088751069447,34.99219609579952,3,21
133,30s,30,"31.752232,34.996052",31.752231601924414,34.996051938203586,3,21
